Team,PR,kag_id,kag_yr
MONMOUTH NJ,57.83,679,S
SEATTLE,57.78,763,S
WESTERN ILLINOIS,57.78,834,S
SAVANNAH ST.,57.65,759,S
PORTLAND ST.,57.50,733,S
TEXAS SOUTHERN,57.36,804,S
IDAHO ST.,57.35,621,S
TEXAS ST.,57.25,795,S
TENNESSEE TECH,57.14,792,S
NORTH CAROLINA WILMINGTON,57.11,816,S
CALIFORNIA RIVERSIDE,57.04,808,S
CENTRAL MICHIGAN,56.96,537,S
MASS-LOWELL,56.78,656,S
GEORGIA SOUTHERN,56.78,600,S
LOYOLA MARYLAND,56.67,653,S
TENNESSEE ST.,56.63,791,S
JACKSONVILLE,56.37,633,S
TEXAS SAN ANTONIO,56.35,820,S
LIBERTY,56.26,645,S
BALL ST.,56.03,520,S
NAVY,55.83,692,S
RICE,55.72,742,S
MISSOURI KANSAS CITY,55.69,677,S
NORTH CAROLINA GREENSBORO,55.60,815,S
EASTERN ILLINOIS,55.48,579,S
SAMFORD,55.44,752,S
CENTRAL CONNECTICUT ST.,55.36,544,S
FAIRLEIGH DICKINSON,55.23,588,S
NORTHERN KENTUCKY,55.22,691,S
COPPIN ST.,55.15,560,S
FLORIDA A&M,55.04,593,S
CHICAGO ST.,54.92,548,S
ST. FRANCIS PA.,54.79,777,S
SAN JOSE ST.,54.45,756,S
SIU EDWARDSVILLE,54.38,584,S
AUSTIN PEAY,54.37,519,S
SACRED HEART,54.04,750,S
N.J. TECH,53.96,706,S
NICHOLLS ST.,53.63,705,S
INCARNATE WORD,53.56,856,S
CALIFORNIA DAVIS,53.38,806,S
LONG ISLAND UNIVERSITY,53.32,648,S
DELAWARE ST.,53.27,571,S
APPALACHIAN ST.,53.20,510,S
NEW HAMPSHIRE,53.12,700,S
TEXAS PAN AMERICAN,53.02,803,S
CITADEL,52.55,550,S
McNEESE ST.,52.44,664,S
MONTANA ST.,52.37,681,S
SE LOUISIANA,52.22,761,S
CAMPBELL,52.13,540,S
JACKSONVILLE ST.,52.11,634,S
TENNESSEE MARTIN,51.96,797,S
MARYLAND BALTIMORE COUNTY,51.82,813,S
CORNELL,51.73,561,S
KENNESAW ST.,51.55,638,S
BINGHAMTON,51.54,524,S
ALABAMA A&M,50.92,505,S
BETHUNE-COOKMAN,50.28,523,S
MARYLAND EASTERN SHORE,50.25,665,S
STETSON,50.17,784,S
FURMAN,50.01,598,S
NEW ORLEANS,49.96,703,S
MAINE,49.77,657,S
ALABAMA ST.,49.59,506,S
ARKANSAS-PINE BLUFF,49.38,514,S
CENTRAL ARKANSAS,49.28,542,S
NORTH CAROLINA A&T,49.04,693,S
IUPUI,48.54,631,S
HOWARD,48.23,619,S
LAMAR,48.16,643,S
PRAIRIE VIEW,47.89,734,S
SOUTH CAROLINA ST.,47.79,747,S
JACKSON ST.,47.73,632,S
ALCORN ST.,47.54,508,S
HOUSTON BAPTIST,47.34,618,S
LONGWOOD,47.11,649,S
PRESBYTERIAN COLLEGE,46.38,735,S
SOUTHERN UTAH,45.71,774,S
ABILENE CHRISTIAN,44.61,501,S
MISSISSIPPI VALLEY ST.,41.72,685,S
GRAMBLING ST.,37.65,608,S
