Rank,Team,W-L,Pyth,AdjO,AdjD,AdjT,Luck,OppPyth,OppO,OppD,NCOppPyth,kag_id,kag_yr
295,Texas Pan American,9-23,.2101,93.7,105.1,66.0,-.033,.4032,103.1,106.7,.4278,803,S
296,Eastern Illinois,11-19,.2063,99.0,111.3,65.9,+.029,.3970,103.6,107.4,.5352,579,S
297,Alabama A&M,14-16,.2055,92.6,104.1,65.8,+.024,.2882,99.7,107.8,.6316,505,S
298,Navy,9-21,.2039,94.1,106.0,63.4,-.028,.4045,103.0,106.6,.3157,692,S
299,Central Connecticut,11-19,.2017,97.7,110.2,70.2,+.071,.3687,101.1,105.9,.4479,544,S
300,Sacred Heart,5-26,.2007,98.9,111.5,67.9,-.093,.3961,102.8,106.6,.4605,750,S
301,Jacksonville,12-18,.2002,103.0,116.2,69.5,+.027,.3645,102.2,107.2,.4651,633,S
302,Florida A&M,14-18,.1998,95.0,107.2,71.8,+.050,.3154,99.9,106.9,.4787,593,S
303,Montana St.,14-17,.1992,95.4,107.7,65.6,+.056,.3479,103.6,109.4,.4514,681,S
304,San Jose St.,7-24,.1964,92.9,105.1,66.3,-.005,.5934,106.9,103.4,.4917,756,S
305,Jackson St.,11-20,.1955,93.8,106.0,67.0,-.043,.3169,100.3,107.2,.6064,632,S
306,Ball St.,5-25,.1892,96.3,109.3,67.7,-.022,.5614,104.9,102.7,.6399,520,S
307,Southeastern Louisiana,12-18,.1890,98.6,111.9,64.9,+.002,.3183,101.4,108.4,.5069,761,S
308,UTSA,8-22,.1861,100.6,114.4,68.4,-.000,.4738,103.1,104.0,.4482,820,S
309,St. Francis PA,10-21,.1851,96.6,109.9,62.9,+.038,.4010,103.3,107.0,.4754,777,S
310,McNeese St.,11-20,.1850,98.3,111.8,67.7,+.041,.4525,104.0,105.7,.8230,664,S
311,NJIT,13-16,.1823,96.0,109.4,69.3,+.055,.3392,101.5,107.6,.3392,706,S
312,Jacksonville St.,10-21,.1811,97.0,110.6,62.9,-.016,.3842,103.8,108.1,.4103,634,S
