"165","Missouri State","33","22","11",".667","13.81","6.51","11","7","","","","","2414","2173","","837","1821",".460","179","491",".365","561","789",".711","","1248","500","299","139","",""
"166","Missouri","29","20","9",".690","12.40","3.89","11","5","","","","","2081","1834","","741","1667",".445","180","474",".380","419","647",".648","","1184","411","256","107","",""
"167","Monmouth","26","5","21",".192","-15.08","-7.60","5","15","","","","","1632","1821","","595","1361",".437","123","370",".332","319","479",".666","","827","329","258","83","",""
"168","Montana State","29","16","13",".552","0.09","-1.49","9","7","","","","","2263","2181","","821","1688",".486","224","576",".389","397","549",".723","","1113","583","132","63","",""
"169","Montana","27","13","14",".481","-2.93","-2.97","6","10","","","","","1940","1865","","664","1474",".450","157","410",".383","455","647",".703","","1085","383","175","57","",""
"170","Morehead State","28","13","15",".464","-8.75","-5.02","9","9","","","","","2149","2198","","774","1698",".456","209","545",".383","392","548",".715","","987","477","262","68","",""
"171","Morgan State","28","14","14",".500","-14.71","-9.64","12","6","","","","","1861","2001","","682","1681",".406","157","484",".324","340","550",".618","","1101","375","216","153","",""
"172","Mount St. Mary's","30","15","15",".500","-7.29","-6.29","10","10","","","","","2049","2079","","756","1764",".429","198","587",".337","339","492",".689","","1085","420","248","122","",""
"173","Murray State","33","27","6",".818","6.80","-4.71","16","2","","","","","2590","2215","","961","2050",".469","188","546",".344","480","705",".681","","1455","503","275","111","",""
"174","Navy","27","20","7",".741","-0.20","-7.49","9","3","","","","","1933","1697","","740","1623",".456","89","299",".298","364","609",".598","","1287","418","298","152","",""
"175","Nebraska","33","20","13",".606","7.55","5.85","10","6","","","","","2177","2121","","799","1764",".453","113","365",".310","466","716",".651","","1265","490","359","158","",""
"176","Nevada-Las Vegas","29","16","13",".552","8.77","4.52","9","5","","","","","2163","1997","","787","1711",".460","175","547",".320","414","652",".635","","1197","504","262","133","",""
"177","Nevada","26","8","18",".308","-9.75","-1.43","4","12","","","","","1775","1959","","651","1472",".442","139","415",".335","334","531",".629","","1014","365","169","91","",""
"178","New Hampshire","27","4","23",".148","-21.19","-7.30","2","16","","","","","1733","2108","","599","1511",".396","220","612",".359","315","450",".700","","1026","344","135","98","",""
"179","New Mexico State","33","23","10",".697","2.40","-0.63","12","4","","","","","2273","2147","","817","1762",".464","201","535",".376","438","665",".659","","1230","417","230","87","",""
"180","New Mexico","34","25","9",".735","7.96","0.74","9","5","","","","","2556","2305","","889","1906",".466","247","667",".370","531","707",".751","","1300","482","224","111","",""
"181","New Orleans","30","14","16",".467","-4.63","-1.50","5","9","","","","","1824","1918","","656","1560",".421","147","471",".312","365","545",".670","","1034","364","231","118","",""
"182","Niagara","29","17","12",".586","-3.87","-4.49","13","5","","","","","2341","2323","","793","1873",".423","198","599",".331","557","766",".727","","1212","404","254","86","",""
"183","Nicholls State","29","14","15",".483","-8.59","-6.19","12","6","","","","","1958","1964","","712","1679",".424","124","425",".292","410","658",".623","","1206","422","271","74","",""
"184","Norfolk State","27","15","12",".556","-10.62","-12.11","11","7","","","","","2330","2288","","874","1817",".481","141","395",".357","441","653",".675","","955","372","253","89","",""
"185","North Carolina-Asheville","29","11","18",".379","-13.25","-4.75","5","5","","","","","2144","2314","","756","1596",".474","132","368",".359","500","697",".717","","1127","476","226","88","",""
"186","North Carolina A&T","28","13","15",".464","-13.55","-9.74","9","9","","","","","1902","1971","","674","1570",".429","146","417",".350","408","676",".604","","1088","293","198","76","",""
"187","North Carolina-Greensboro","27","7","20",".259","-14.97","-6.00","5","11","","","","","1755","1998","","629","1497",".420","121","324",".373","376","544",".691","","1039","353","197","99","",""
"188","North Carolina State","33","19","14",".576","12.19","6.92","6","10","","","","","2363","2189","","798","1757",".454","185","503",".368","582","859",".678","","1319","410","256","127","",""
"189","North Carolina-Wilmington","28","11","17",".393","-2.00","0.00","9","7","","","","","1686","1742","","614","1501",".409","143","421",".340","315","488",".645","","1062","320","150","67","",""
"190","North Carolina","34","24","10",".706","16.77","10.25","10","6","","","","","2428","2206","","868","1841",".471","175","460",".380","517","720",".718","","1466","541","192","134","",""
"191","North Texas","26","4","22",".154","-13.51","1.37","4","12","","","","","1860","2247","","687","1770",".388","175","617",".284","311","473",".658","","1042","303","217","65","",""
"192","Northeastern","28","10","18",".357","-13.30","-6.80","6","12","","","","","1927","2109","","702","1588",".442","146","413",".354","377","533",".707","","960","293","228","106","",""
"193","Northern Arizona","29","21","8",".724","5.20","-3.00","12","4","","","","","2238","1935","","783","1497",".523","243","546",".445","429","571",".751","","1011","477","173","73","",""
"194","Northern Illinois","26","6","20",".231","-6.85","-0.73","2","16","","","","","1560","1719","","560","1396",".401","127","394",".322","311","451",".690","","985","276","160","56","",""
"195","Northern Iowa","27","9","18",".333","3.67","5.82","6","12","","","","","1903","1961","","645","1410",".457","167","430",".388","446","606",".736","","917","320","210","43","",""
"196","Northwestern State","26","11","15",".423","-13.03","-7.99","8","10","","","","","1770","1810","","642","1588",".404","137","403",".340","349","515",".678","","1020","381","264","42","",""
"197","Northwestern","29","15","14",".517","10.82","9.10","6","10","","","","","1741","1655","","584","1354",".431","201","536",".375","372","537",".693","","1038","445","131","107","",""
"198","Notre Dame","30","14","16",".467","5.20","6.99","8","10","","","","","2168","2226","","782","1656",".472","127","382",".332","477","686",".695","","1186","516","221","90","",""
"199","Ohio State","36","27","9",".750","19.02","9.51","12","4","","","","","2695","2334","","986","2108",".468","218","611",".357","505","826",".611","","1477","498","297","148","",""
